FCX
GOLD
NEM
WPM
X
TMUS
VZ
ROKU
SNAP
SPOT
T
NFLX
META
DIS
DISH
ATVI
AMZN
DHI
ETSY
GM
MGM
NKE
HD
M
SBUX
TSLA
WMT
TGT
MO
KO
PEP
PG
PM
CAG
BYND
ADM
APA
CCJ
CVX
DVN
MRO
HAL
MPC
SLB
OXY
VLO
MA
MARA
JPM
PYPL
MS
GDXJ
BX
COF
AXP
C
BAC
AFL
AMGN
ABBV
ABT
BMY
CAH
CVS
PFE
JNJ
MDT
MRK
MRNA
WBA
RTX
LUV
PLUG
MMM
GE
CAT
CSX
DAL
BA
AAL
AMT
WELL
ZM
SQ
AMD
AAPL
CRM
MRVL
NVDA
ORCL
QCOM
MSFT
MU
HPQ
INTC
SPY
QQQ
