,Ann Volatility,Cumulative Returns,Ann Returns,Sharpe
Algo 2,0.289983375621647,8.380262500200237,0.3464705749902458,1.2236486388639052
Algo 1,0.3866395650574652,14.783243764259737,0.43577827538662234,1.141952419471157
P1 as Portfolio,0.23019081456873525,3.975804443502493,0.22418064039473057,0.9738904691515828
QQQ,0.23802532455880696,3.3088350012288252,0.19829875272116212,0.8330993901120386
SPY,0.1932401344413438,2.2409653346413188,0.1300386003183687,0.672937848518423
